WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:8080
 * Running on http://192.168.4.66:8080
Press CTRL+C to quit
127.0.0.1 - - [15/Apr/2026 18:07:42] "GET /api/health HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 18:08:18] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 18:08:19] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [15/Apr/2026 18:08:21] "GET /employees HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 18:08:22] "GET /api/organizations HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 18:08:23] "GET /view-employees HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 18:08:23] "GET /api/organizations HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 18:08:24] "GET /dashboard HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 18:08:24] "GET /api/organizations HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 18:08:24] "GET /api/employees HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 18:08:24] "GET /api/organizations HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 18:08:29] "GET /api/organizations HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 18:08:29] "GET /api/employees HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 18:08:30] "GET /api/organizations HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 18:08:34] "GET /api/organizations HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 18:08:34] "GET /api/employees HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 18:08:34] "GET /api/organizations HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 18:08:39] "GET /api/organizations HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 18:08:39] "GET /api/employees HTTP/1.1" 200 -
